r,psi
1.349019607843137347e+00,6.469939895882713676e-01
1.380392156862745079e+00,6.568329857670776040e-01
1.411764705882352811e+00,6.664229315612056892e-01
1.443137254901960764e+00,6.757670127411185002e-01
1.474509803921568718e+00,6.848686019655327861e-01
1.505882352941176450e+00,6.937312410881030234e-01
1.537254901960784181e+00,7.023586240272653436e-01
1.568627450980392135e+00,7.107545802018636616e-01
1.600000000000000089e+00,7.189230586019499381e-01
1.631372549019607820e+00,7.268681125050134861e-01
1.662745098039215552e+00,7.345938848493799300e-01
1.694117647058823506e+00,7.421045943093030894e-01
1.725490196078431460e+00,7.494045220510229255e-01
1.756862745098039191e+00,7.564979991811684457e-01
1.788235294117646923e+00,7.633893949140422297e-01
1.819607843137254877e+00,7.700831054094653405e-01
1.850980392156862830e+00,7.765835433116951014e-01
1.882352941176470562e+00,7.828951279645250949e-01
1.913725490196078294e+00,7.890222762761420761e-01
1.945098039215686248e+00,7.949693942498270438e-01
1.976470588235294201e+00,8.007408691323913974e-01
2.007843137254901933e+00,8.063410621663340550e-01
2.039215686274509665e+00,8.117743019514983560e-01
2.070588235294117396e+00,8.170448783508892365e-01
2.101960784313725572e+00,8.221570369518866883e-01
2.133333333333333304e+00,8.271149740500823855e-01
2.164705882352941035e+00,8.319228321147688066e-01
2.196078431372549211e+00,8.365846957440015164e-01
2.227450980392156943e+00,8.411045880570982014e-01
2.258823529411764675e+00,8.454864675041589006e-01
2.290196078431372406e+00,8.497342250942472308e-01
2.321568627450980138e+00,8.538516819797821178e-01
2.352941176470588314e+00,8.578425874021392561e-01
2.384313725490196045e+00,8.617106169728100395e-01
2.415686274509803777e+00,8.654593712482571144e-01
2.447058823529411953e+00,8.690923746079083356e-01
2.478431372549019684e+00,8.726130743910350818e-01
2.509803921568627416e+00,8.760248402744391649e-01
2.541176470588235148e+00,8.793309638952422347e-01
2.572549019607842880e+00,8.825346586678960437e-01
2.603921568627451055e+00,8.856390597990648761e-01
2.635294117647058787e+00,8.886472244865799563e-01
2.666666666666666519e+00,8.915621322650940650e-01
2.698039215686274694e+00,8.943866855115469860e-01
2.729411764705882426e+00,8.971237100774646089e-01
2.760784313725490158e+00,8.997759560344938956e-01
2.792156862745097889e+00,9.023460985410263202e-01
2.823529411764705621e+00,9.048367387920865923e-01
2.854901960784313797e+00,9.072504050555469934e-01
2.886274509803921529e+00,9.095895537917826346e-01
2.917647058823529260e+00,9.118565708248907997e-01
2.949019607843137436e+00,9.140537725810895520e-01
2.980392156862745168e+00,9.161834073717110005e-01
3.011764705882352899e+00,9.182476567110026133e-01
3.043137254901960631e+00,9.202486366788329430e-01
3.074509803921568363e+00,9.221883993017842007e-01
3.105882352941176539e+00,9.240689339546148684e-01
3.137254901960784270e+00,9.258921687871938255e-01
3.168627450980392002e+00,9.276599721498953732e-01
3.200000000000000178e+00,9.293741540337394635e-01
3.231372549019607909e+00,9.310364675107900556e-01
3.262745098039215641e+00,9.326486101675460771e-01
3.294117647058823373e+00,9.342122255421462240e-01
3.325490196078431104e+00,9.357289045471880451e-01
3.356862745098039280e+00,9.372001868797326107e-01
3.388235294117647012e+00,9.386275624267370610e-01
3.419607843137254743e+00,9.400124726446741352e-01
3.450980392156862919e+00,9.413563119277658098e-01
3.482352941176470651e+00,9.426604289564803896e-01
3.513725490196078383e+00,9.439261280204424009e-01
3.545098039215686114e+00,9.451546703262009297e-01
3.576470588235293846e+00,9.463472752773122165e-01
3.607843137254902022e+00,9.475051217285243021e-01
3.639215686274509753e+00,9.486293492218892398e-01
3.670588235294117485e+00,9.497210591897324861e-01
3.701960784313725661e+00,9.507813161355241904e-01
3.733333333333333393e+00,9.518111487888127886e-01
3.764705882352941124e+00,9.528115512290785682e-01
3.796078431372548856e+00,9.537834839879406612e-01
3.827450980392156588e+00,9.547278751211460968e-01
3.858823529411764763e+00,9.556456212518406046e-01
3.890196078431372495e+00,9.565375885920716081e-01
3.921568627450980227e+00,9.574046139318772575e-01
3.952941176470588402e+00,9.582475056040089534e-01
3.984313725490196134e+00,9.590670444233782010e-01
4.015686274509803866e+00,9.598639845964743733e-01
4.047058823529411598e+00,9.606390546089222937e-01
4.078431372549019329e+00,9.613929580853666224e-01
4.109803921568627061e+00,9.621263746226993430e-01
4.141176470588234793e+00,9.628399606025588309e-01
4.172549019607843412e+00,9.635343499755928409e-01
4.203921568627451144e+00,9.642101550230640639e-01
4.235294117647058876e+00,9.648679670967151845e-01
4.266666666666666607e+00,9.655083573323970381e-01
4.298039215686274339e+00,9.661318773443600127e-01
4.329411764705882071e+00,9.667390598962956050e-01
4.360784313725489802e+00,9.673304195496477131e-01
4.392156862745098422e+00,9.679064532941278332e-01
4.423529411764706154e+00,9.684676411551482733e-01
4.454901960784313886e+00,9.690144467818156970e-01
4.486274509803921617e+00,9.695473180174857264e-01
4.517647058823529349e+00,9.700666874486115754e-01
4.549019607843137081e+00,9.705729729376202375e-01
4.580392156862744812e+00,9.710665781372245231e-01
4.611764705882352544e+00,9.715478929862539914e-01
4.643137254901960276e+00,9.720172941910565356e-01
4.674509803921568896e+00,9.724751456887648082e-01
4.705882352941176627e+00,9.729217990945953076e-01
4.737254901960784359e+00,9.733575941357947015e-01
4.768627450980392091e+00,9.737828590681855134e-01
4.799999999999999822e+00,9.741979110800493835e-01
4.831372549019607554e+00,9.746030566816653584e-01
4.862745098039215286e+00,9.749985920802499706e-01
4.894117647058823906e+00,9.753848035436092356e-01
4.925490196078431637e+00,9.757619677498551303e-01
4.956862745098039369e+00,9.761303521244846237e-01
4.988235294117647101e+00,9.764902151673743314e-01
5.019607843137254832e+00,9.768418067662452131e-01
5.050980392156862564e+00,9.771853685002771517e-01
5.082352941176470296e+00,9.775211339329061833e-01
5.113725490196078027e+00,9.778493288932889049e-01
5.145098039215685759e+00,9.781701717491476655e-01
5.176470588235294379e+00,9.784838736690371075e-01
5.207843137254902111e+00,9.787906388749111342e-01
5.239215686274509842e+00,9.790906648870478790e-01
5.270588235294117574e+00,9.793841427587371973e-01
5.301960784313725306e+00,9.796712573033612426e-01
5.333333333333333037e+00,9.799521873134716676e-01
5.364705882352940769e+00,9.802271057711584579e-01
5.396078431372549389e+00,9.804961800519383930e-01
5.427450980392157120e+00,9.807595721207127415e-01
5.458823529411764852e+00,9.810174387203490776e-01
5.490196078431372584e+00,9.812699315545572176e-01
5.521568627450980316e+00,9.815171974630899632e-01
5.552941176470588047e+00,9.817593785911147286e-01
5.584313725490195779e+00,9.819966125527541667e-01
5.615686274509803511e+00,9.822290325879671213e-01
5.647058823529411242e+00,9.824567677146105460e-01
5.678431372549019862e+00,9.826799428746070264e-01
5.709803921568627594e+00,9.828986790745353197e-01
5.741176470588235325e+00,9.831130935220000477e-01
